segment_id,country_code,road_class_norm,land_use,speed_limit,ss_limit,speed_85th,pct_over_limit,sss,sss_band,anomaly_score,anomaly_flag,anomaly_reason
46284,TH,secondary,urban,90.0,50.0,63.0,0.0,55.0,High Risk,45.42431251366318,True,AI flags: high spread between median and 85th pct speed; median speed significantly above posted limit; drivers operating far above posted limit
46295,TH,secondary,urban,90.0,50.0,43.0,0.0,55.0,High Risk,49.503432262739196,True,AI flags: drivers operating far above posted limit; absolute speed excess above limit is high; median speed significantly above posted limit
46302,TH,secondary,urban,90.0,50.0,50.0,0.0,55.0,High Risk,38.8065783813932,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; absolute speed excess above limit is high
46629,TH,secondary,urban,90.0,50.0,42.5,0.0,55.0,High Risk,52.06394931942499,True,AI flags: drivers operating far above posted limit; median speed significantly above posted limit; absolute speed excess above limit is high
46696,TH,secondary,urban,40.0,50.0,64.0,1.0,80.0,Critical,66.2756937485066,True,AI flags: pct over limit; large gap between F85 speed and posted limit; unusual traffic volume for this road type
46852,TH,secondary,urban,80.0,50.0,32.0,0.0,55.0,High Risk,53.304515855278524,True,AI flags: drivers operating far above posted limit; unusual traffic volume for this road type; absolute speed excess above limit is high
46960,TH,secondary,urban,80.0,50.0,33.0,0.0,55.0,High Risk,47.67364677988741,True,AI flags: drivers operating far above posted limit; absolute speed excess above limit is high; median speed significantly above posted limit
47009,TH,secondary,rural,60.0,60.0,94.0,0.9543454581935965,64.6415912,High Risk,45.207984816241414,True,AI flags: pct over limit; large gap between F85 speed and posted limit; median speed significantly above posted limit
47053,TH,secondary,rural,90.0,60.0,37.0,0.0,39.6415912,Moderate,57.56657107949378,True,AI flags: drivers operating far above posted limit; absolute speed excess above limit is high; median speed significantly above posted limit
47308,TH,secondary,urban,30.0,50.0,69.5,1.0,84.0,Critical,76.5516413410459,True,AI flags: large gap between F85 speed and posted limit; pct over limit; median speed significantly above posted limit
47417,TH,secondary,urban,90.0,50.0,106.0,0.5249999939343665,55.0,High Risk,41.82517469045289,True,AI flags: unusual traffic volume for this road type; road class inconsistent with observed speeds; urban road with atypical speed profile
47432,TH,secondary,rural,90.0,60.0,42.83333333,0.0,39.6415912,Moderate,48.31176584433458,True,AI flags: drivers operating far above posted limit; absolute speed excess above limit is high; median speed significantly above posted limit
47477,TH,secondary,urban,40.0,50.0,42.0,0.24999960244069608,35.0,Moderate,47.00395402489743,True,AI flags: high spread between median and 85th pct speed; unusual traffic volume for this road type; speed limit
47675,TH,secondary,rural,30.0,60.0,87.04545454,0.9475743872824982,70.6415912,Critical,80.92910496589634,True,AI flags: large gap between F85 speed and posted limit; median speed significantly above posted limit; absolute speed excess above limit is high
47769,TH,secondary,urban,90.0,50.0,47.5,0.0,55.0,High Risk,45.7027480654524,True,AI flags: drivers operating far above posted limit; median speed significantly above posted limit; absolute speed excess above limit is high
47851,TH,secondary,urban,40.0,50.0,53.0,0.5999992676661803,35.0,Moderate,48.395365494214474,True,AI flags: unusual traffic volume for this road type; speed limit; pct over limit
47896,TH,secondary,rural,60.0,60.0,107.5,0.549419270303277,39.675028700000006,Moderate,54.2285624413515,True,AI flags: high spread between median and 85th pct speed; large gap between F85 speed and posted limit; absolute speed excess above limit is high
47960,TH,secondary,urban,30.0,50.0,64.0,1.0,84.0,Critical,79.34248913931596,True,AI flags: large gap between F85 speed and posted limit; pct over limit; median speed significantly above posted limit
47989,TH,secondary,urban,30.0,50.0,55.0,1.0,84.0,Critical,74.33817589170476,True,AI flags: large gap between F85 speed and posted limit; pct over limit; speed limit
47999,TH,secondary,urban,30.0,50.0,62.0,1.0,84.0,Critical,77.11954580677434,True,AI flags: large gap between F85 speed and posted limit; pct over limit; speed limit
48002,TH,secondary,urban,30.0,50.0,67.0,1.0,84.0,Critical,78.51125758832718,True,AI flags: large gap between F85 speed and posted limit; pct over limit; unusual traffic volume for this road type
48032,TH,secondary,urban,30.0,50.0,82.0,1.0,84.0,Critical,85.33398808098983,True,AI flags: large gap between F85 speed and posted limit; unusual traffic volume for this road type; absolute speed excess above limit is high
48132,TH,secondary,urban,80.0,50.0,33.0,0.0,55.0,High Risk,46.410389081163736,True,AI flags: drivers operating far above posted limit; absolute speed excess above limit is high; median speed significantly above posted limit
48196,TH,secondary,urban,80.0,50.0,26.0,0.0,55.0,High Risk,63.87074958299037,True,AI flags: drivers operating far above posted limit; absolute speed excess above limit is high; high spread between median and 85th pct speed
48224,TH,secondary,rural,90.0,60.0,29.0,0.0,39.6415912,Moderate,67.12592505592974,True,AI flags: drivers operating far above posted limit; median speed significantly above posted limit; absolute speed excess above limit is high
48236,TH,secondary,urban,90.0,50.0,27.5,0.0,55.0,High Risk,73.24482879186274,True,AI flags: drivers operating far above posted limit; median speed significantly above posted limit; absolute speed excess above limit is high
48245,TH,secondary,urban,90.0,50.0,36.0,0.0,55.0,High Risk,61.935210353878965,True,AI flags: drivers operating far above posted limit; absolute speed excess above limit is high; median speed significantly above posted limit
48252,TH,secondary,urban,30.0,50.0,81.0,1.0,84.0,Critical,81.40750906682815,True,AI flags: large gap between F85 speed and posted limit; median speed significantly above posted limit; pct over limit
48353,TH,secondary,urban,50.0,50.0,69.0,0.7750005500671082,63.21287272727272,High Risk,44.936958579739,True,AI flags: pct over limit; unusual traffic volume for this road type; large gap between F85 speed and posted limit
48362,TH,secondary,urban,40.0,50.0,56.0,0.7000006607769416,47.709963636363646,Moderate,52.087943098248566,True,AI flags: pct over limit; speed limit; large gap between F85 speed and posted limit
48375,TH,secondary,urban,30.0,50.0,61.0,0.65833382287233,84.0,Critical,70.11801463532163,True,AI flags: large gap between F85 speed and posted limit; speed limit; drivers operating far above posted limit
48393,TH,secondary,rural,50.0,60.0,71.0,0.8250002813826015,62.220110518181805,High Risk,37.99950654416303,True,AI flags: pct over limit; large gap between F85 speed and posted limit; ss gap
48394,TH,secondary,urban,50.0,50.0,69.0,0.7999991775859269,69.59913977272728,Critical,47.756433927872735,True,AI flags: pct over limit; large gap between F85 speed and posted limit; unusual traffic volume for this road type
