segment_id,country_code,road_class_norm,land_use,speed_limit,ss_limit,speed_85th,pct_over_limit,sss,sss_band,anomaly_score,anomaly_flag,anomaly_reason
TR/11318,MH,trunk,rural,55.0,90.0,30.0,0.0,21.227932444444445,Acceptable,65.10440197483138,True,AI flags: ss limit; drivers operating far above posted limit; ss gap
TR/12029,MH,trunk,rural,60.0,90.0,96.0,0.7500023811111217,42.95015466666666,Moderate,45.024689021145555,True,AI flags: ss limit; ss gap; large gap between F85 speed and posted limit
TR/12848,MH,trunk,rural,40.0,90.0,70.0,0.6174471440910286,40.19208964141414,Moderate,62.29177910212881,True,AI flags: ss limit; ss gap; high spread between median and 85th pct speed
TR/12204,MH,trunk,rural,55.0,90.0,89.33333333333333,0.8150072939460248,43.72793244444445,Moderate,41.769676490268466,True,AI flags: ss limit; ss gap; large gap between F85 speed and posted limit
TR/12030,MH,trunk,rural,60.0,90.0,93.0,0.7249992922324875,42.95015466666666,Moderate,41.120061881791635,True,AI flags: ss limit; ss gap; large gap between F85 speed and posted limit
TR/13516,MH,trunk,rural,55.0,90.0,79.0,0.5835585019479703,29.84850062626262,Acceptable,38.746002581655624,True,AI flags: ss limit; ss gap; high spread between median and 85th pct speed
PR/684,MH,primary,urban,40.0,50.0,51.0,0.550002197415839,28.379485680000002,Acceptable,42.16466674005267,True,AI flags: speed limit; ss gap; posted limit far above Safe System standard
TR/12569,MH,trunk,rural,55.0,90.0,94.83333333333333,0.9192210778677495,43.72793244444445,Moderate,48.06174649272463,True,AI flags: ss limit; large gap between F85 speed and posted limit; ss gap
TR/12298,MH,trunk,rural,30.0,90.0,91.66666666666667,0.0,47.616821333333334,Moderate,87.73285802986918,True,AI flags: large gap between F85 speed and posted limit; ss limit; ss gap
TR/11730,MH,trunk,rural,55.0,90.0,88.16666666666667,0.9255442415730337,43.72793244444445,Moderate,42.415318912584134,True,AI flags: ss limit; ss gap; pct over limit
TR/12297,MH,trunk,rural,30.0,90.0,80.5,0.0,47.616821333333334,Moderate,82.3816011884121,True,AI flags: large gap between F85 speed and posted limit; ss limit; ss gap
SE/7562,MH,secondary,urban,45.0,30.0,27.0,0.0,55.0,High Risk,51.04436189182644,True,AI flags: ss limit; high spread between median and 85th pct speed; drivers operating far above posted limit
TR/12324,MH,trunk,rural,60.0,90.0,98.0,0.7125138995808742,42.95015466666666,Moderate,49.25334377450872,True,AI flags: ss limit; high spread between median and 85th pct speed; ss gap
TR/12612,MH,trunk,rural,55.0,90.0,104.4,0.0,43.72793244444445,Moderate,65.5399959784646,True,AI flags: ss limit; large gap between F85 speed and posted limit; ss gap
TR/13549,MH,trunk,urban,45.0,60.0,63.0,0.6999874063346136,47.96401839999999,Moderate,43.87249580930956,True,AI flags: ss gap; pct over limit; large gap between F85 speed and posted limit
TR/12139,MH,trunk,rural,45.0,90.0,62.75,0.5446949901609729,24.872280613636356,Acceptable,47.92200303405272,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
TR/11649,MH,trunk,rural,55.0,90.0,40.25,0.031579622953198425,21.227932444444445,Acceptable,58.475272084461395,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
TR/13266,MH,trunk,rural,55.0,90.0,92.5,1.0,43.72793244444445,Moderate,48.78296225964895,True,AI flags: ss limit; ss gap; pct over limit
TR/11080,MH,trunk,rural,55.0,90.0,58.0,0.20911806728146512,21.227932444444445,Acceptable,40.77033742228598,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
TR/13517,MH,trunk,rural,55.0,90.0,78.0,0.549988958410011,26.437705171717177,Acceptable,39.97750510836479,True,AI flags: ss limit; ss gap; high spread between median and 85th pct speed
TR/11994,MH,trunk,urban,40.0,60.0,49.0,0.39999207230061834,29.330685066666668,Acceptable,45.44347505694894,True,AI flags: ss gap; posted limit far above Safe System standard; speed limit
PR/4111,MH,primary,rural,30.0,60.0,94.0,0.0,48.209759999999996,Moderate,81.74163408774353,True,AI flags: large gap between F85 speed and posted limit; median speed significantly above posted limit; absolute speed excess above limit is high
PR/4112,MH,primary,rural,30.0,60.0,83.0,0.0,48.209759999999996,Moderate,74.97101328886934,True,AI flags: large gap between F85 speed and posted limit; median speed significantly above posted limit; absolute speed excess above limit is high
TR/12574,MH,trunk,rural,55.0,90.0,90.6,0.7554776885433185,43.72793244444445,Moderate,44.218438945269654,True,AI flags: ss limit; ss gap; large gap between F85 speed and posted limit
TR/11694,MH,trunk,urban,45.0,60.0,73.5,0.8287081517893717,73.1640184,Critical,49.38236676166959,True,AI flags: large gap between F85 speed and posted limit; pct over limit; ss gap
TR/12985,MH,trunk,rural,40.0,90.0,65.625,0.41089541555776127,28.79400392586016,Acceptable,62.61668429101781,True,AI flags: ss limit; ss gap; high spread between median and 85th pct speed
TR/13068,MH,trunk,rural,55.0,90.0,85.5,0.9569408332804871,43.7339970776035,Moderate,44.59755813485995,True,AI flags: ss limit; ss gap; pct over limit
PR/1167,MH,primary,rural,55.0,60.0,29.0,0.0,19.709759999999996,Acceptable,38.35660562972112,True,AI flags: drivers operating far above posted limit; speed 85th; median speed
TR/13469,MH,trunk,urban,45.0,60.0,28.25,0.0,28.140987355273637,Acceptable,54.45572185046223,True,AI flags: drivers operating far above posted limit; speed 85th; ss gap
TR/13481,MH,trunk,rural,60.0,90.0,97.5,1.0,42.95015466666666,Moderate,49.860615329811374,True,AI flags: ss limit; pct over limit; ss gap
PR/1209,MH,primary,rural,55.0,60.0,91.375,0.946398534743767,42.209759999999996,Moderate,41.9053377172599,True,AI flags: large gap between F85 speed and posted limit; pct over limit; median speed significantly above posted limit
TR/11751,MH,trunk,rural,55.0,80.0,48.666666666666664,0.10391383495145631,20.158488,Acceptable,46.374542936506266,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
TR/13051,MH,trunk,urban,40.0,60.0,61.5,0.564582553350805,44.51358279393939,Moderate,50.875818058128445,True,AI flags: large gap between F85 speed and posted limit; ss gap; posted limit far above Safe System standard
TR/12369,MH,trunk,rural,60.0,90.0,95.0,0.7624921698067749,42.95015466666666,Moderate,42.682958817254665,True,AI flags: ss limit; ss gap; large gap between F85 speed and posted limit
TR/11244,MH,trunk,rural,30.0,90.0,47.0,0.7250025904051394,33.99788143917873,Acceptable,62.56003335938898,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
TR/12768,MH,trunk,rural,55.0,90.0,91.0,0.9411568594765795,43.72793244444445,Moderate,45.924206724471404,True,AI flags: ss limit; ss gap; large gap between F85 speed and posted limit
SE/7561,MH,secondary,urban,45.0,30.0,30.0,0.0,55.0,High Risk,45.903400401773936,True,AI flags: ss limit; high spread between median and 85th pct speed; speed 85th
TR/13529,MH,trunk,rural,55.0,90.0,101.5,1.0,43.72793244444445,Moderate,59.27780857752396,True,AI flags: ss limit; large gap between F85 speed and posted limit; ss gap
TR/12141,MH,trunk,rural,55.0,90.0,29.0,0.0,21.227932444444445,Acceptable,65.01292515716403,True,AI flags: ss limit; drivers operating far above posted limit; ss gap
TR/11640,MH,trunk,rural,30.0,90.0,59.625,0.6481048057354166,47.616821333333334,Moderate,61.34995350446041,True,AI flags: large gap between F85 speed and posted limit; ss limit; ss gap
PR/1226,MH,primary,rural,55.0,50.0,96.0,1.0,46.209759999999996,Moderate,54.02221455254521,True,AI flags: large gap between F85 speed and posted limit; pct over limit; median speed significantly above posted limit
TR/12546,MH,trunk,rural,55.0,90.0,95.4,0.3533643003537204,43.74531141507644,Moderate,45.81952977574332,True,AI flags: ss limit; large gap between F85 speed and posted limit; ss gap
TR/13094,MH,trunk,rural,55.0,90.0,62.5,0.2569309553240332,21.227932444444445,Acceptable,41.302342135691276,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
TR/11981,MH,trunk,rural,55.0,80.0,45.75,0.013404211114534005,20.158488,Acceptable,41.51361763890444,True,AI flags: ss limit; ss gap; high spread between median and 85th pct speed
PR/3619,MH,primary,rural,55.0,60.0,27.6,0.0,19.709759999999996,Acceptable,43.97172085287714,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; speed 85th
TR/11245,MH,trunk,urban,40.0,60.0,52.0,0.4749906758940782,29.303584872396446,Acceptable,46.48071270183972,True,AI flags: ss gap; posted limit far above Safe System standard; speed limit
SE/5316,MH,secondary,rural,55.0,40.0,31.0,0.0,37.126552,Moderate,42.010474624264276,True,AI flags: high spread between median and 85th pct speed; drivers operating far above posted limit; ss limit
PR/3641,MH,primary,urban,40.0,50.0,54.666666666666664,0.5483628686584352,28.367771127308824,Acceptable,42.5060691414574,True,AI flags: speed limit; ss gap; posted limit far above Safe System standard
TR/12410,MH,trunk,rural,40.0,90.0,64.0,0.8158230787090782,46.06126577777778,Moderate,54.610966906012045,True,AI flags: ss limit; ss gap; large gap between F85 speed and posted limit
TR/12586,MH,trunk,rural,50.0,90.0,83.33333333333333,0.80016570008285,44.50571022222222,Moderate,45.63090704950227,True,AI flags: ss limit; ss gap; large gap between F85 speed and posted limit
TR/11104,MH,trunk,rural,55.0,90.0,82.5,0.8778580422824575,43.72793244444445,Moderate,39.990654984637054,True,AI flags: ss limit; ss gap; pct over limit
TR/13251,MH,trunk,rural,55.0,90.0,91.5,0.9450953626815304,43.72793244444445,Moderate,46.452873866676484,True,AI flags: ss limit; ss gap; large gap between F85 speed and posted limit
TR/12531,MH,trunk,rural,50.0,90.0,90.0,0.8700164108504682,44.50571022222222,Moderate,51.374344520947545,True,AI flags: ss limit; large gap between F85 speed and posted limit; ss gap
TR/12742,MH,trunk,rural,55.0,80.0,48.0,0.07918552036199095,20.158794156584158,Acceptable,43.798336818323094,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
