segment_id,country_code,road_class_norm,land_use,speed_limit,ss_limit,speed_85th,pct_over_limit,sss,sss_band,anomaly_score,anomaly_flag,anomaly_reason
SE/6376,MH,secondary,rural,55.0,30.0,18.0,0.0,58.382112,High Risk,68.3603999754631,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; large gap between F85 speed and posted limit
SE/10875,MH,secondary,rural,55.0,70.0,18.0,0.0,32.452128,Acceptable,62.615982630812105,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; large gap between F85 speed and posted limit
SE/5916,MH,secondary,rural,55.0,40.0,13.333333333333334,0.0,53.694612,High Risk,69.77899852615376,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; large gap between F85 speed and posted limit
SE/7171,MH,secondary,rural,45.0,50.0,62.5,0.1,33.928832,Moderate,43.9211801774176,True,AI flags: high spread between median and 85th pct speed; large gap between F85 speed and posted limit; speed limit
SE/9272,MH,secondary,rural,55.0,70.0,29.5,0.0,34.79431392,Moderate,37.2935253336505,True,AI flags: drivers operating far above posted limit; median speed; speed 85th
SE/6227,MH,secondary,rural,55.0,70.0,29.333333333333332,0.0,34.563888,Moderate,41.59794487330398,True,AI flags: drivers operating far above posted limit; median speed; speed 85th
SE/8148,MH,secondary,rural,55.0,70.0,26.0,0.0,34.563888,Moderate,44.507075571935914,True,AI flags: drivers operating far above posted limit; median speed; large gap between F85 speed and posted limit
PR/1333,MH,primary,rural,55.0,50.0,17.75,0.0,36.202128,Moderate,60.59194333881387,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; large gap between F85 speed and posted limit
SE/10859,MH,secondary,rural,55.0,70.0,27.0,0.0,49.464,High Risk,41.809358748648606,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; speed 85th
SE/10404,MH,secondary,rural,55.0,70.0,25.0,0.0,35.04829824,Moderate,47.33157044034227,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; large gap between F85 speed and posted limit
SE/5263,MH,secondary,rural,55.0,70.0,26.5,0.0,35.48559168,Moderate,43.53645803574969,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; speed 85th
SE/6390,MH,secondary,rural,55.0,70.0,25.5,0.0,36.17686944,Moderate,45.738962549874486,True,AI flags: drivers operating far above posted limit; large gap between F85 speed and posted limit; high spread between median and 85th pct speed
SE/6729,MH,secondary,rural,55.0,70.0,29.0,0.0,40.06584,Moderate,41.54158898445823,True,AI flags: drivers operating far above posted limit; median speed; speed 85th
TR/13116,MH,trunk,rural,55.0,60.0,29.333333333333332,0.0,53.030528000000004,High Risk,44.47787726546548,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; speed 85th
SE/6696,MH,secondary,rural,55.0,40.0,29.833333333333332,0.010958904109589041,75.53476799999999,Critical,42.14395588932948,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; speed 85th
SE/7581,MH,secondary,rural,55.0,60.0,26.833333333333332,0.0,41.22,Moderate,38.51324316965695,True,AI flags: drivers operating far above posted limit; speed 85th; large gap between F85 speed and posted limit
SE/5005,MH,secondary,rural,55.0,70.0,28.0,0.0,44.702628479999994,Moderate,41.965624773180096,True,AI flags: drivers operating far above posted limit; median speed; speed 85th
SE/7033,MH,secondary,rural,55.0,50.0,20.5,0.0,37.89156064,Moderate,54.863809119639065,True,AI flags: drivers operating far above posted limit; large gap between F85 speed and posted limit; high spread between median and 85th pct speed
SE/7128,MH,secondary,rural,55.0,60.0,26.0,0.0,49.464,High Risk,40.96500098280917,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; large gap between F85 speed and posted limit
SE/7119,MH,secondary,rural,55.0,40.0,26.0,0.0,75.53476799999999,Critical,48.50159017492982,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; large gap between F85 speed and posted limit
SE/6639,MH,secondary,rural,55.0,70.0,26.0,0.0,34.6156032,Moderate,44.89490762446451,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; large gap between F85 speed and posted limit
SE/5212,MH,secondary,rural,55.0,70.0,24.5,0.0,39.59159616,Moderate,47.79193940247088,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; large gap between F85 speed and posted limit
