layer,perturbed_weight,direction,new_value,spearman_rho_vs_base,pct_top20_changed
likelihood,limit_credibility_gap,+,0.409,0.9964,14.9
likelihood,limit_credibility_gap,-,0.278,0.9945,17.9
likelihood,credibility,+,0.409,0.996,15.0
likelihood,credibility,-,0.278,0.9943,17.3
likelihood,speed_variability,+,0.364,0.9954,8.1
likelihood,speed_variability,-,0.222,0.9908,10.9
severity,safe_system_gap,+,0.436,0.9973,8.2
severity,safe_system_gap,-,0.311,0.9958,11.7
severity,nilsson_risk,+,0.336,0.998,11.4
severity,nilsson_risk,-,0.189,0.9968,13.2
severity,infrastructure_severity,+,0.318,0.9964,6.1
severity,infrastructure_severity,-,0.167,0.9948,6.0
severity,helmet_severity,+,0.182,0.9943,7.2
severity,helmet_severity,-,0.011,0.994,5.6
